pid,minx,miny,maxx,maxy
0,-165.21160993704783,-16.474428973466868,-113.98080265599995,65.01875762285482
1,-113.58677857246546,17.97740397622575,-100.34589261990833,53.58241013487038
2,-99.75460268241017,16.464496473534364,-92.46716816287086,49.92097250543315
3,-92.30464984577846,13.307261307358695,-86.79904892612105,39.952490982430234
4,-92.3177581339088,40.14011570592047,-86.86764329763763,46.458376397158325
5,-86.39193460089524,8.244934753975084,-80.7043430136679,44.89502106343314
6,-80.59004158936125,-13.311448076307768,-75.67929812322085,35.07365161198919
7,-80.61378907694045,35.1547842338077,-75.64002985140444,55.80559190359662
8,-73.12635515742213,-53.80898872638426,-51.811675267592605,-30.56392933424606
9,-65.80458684376799,-30.283224854982684,-52.6917104505464,-24.720708963855074
10,-52.62691514774306,-30.192909155565165,-48.529353367948815,-25.270261278693994
11,-66.61451552902521,-24.27497809934624,-45.24538329158911,-17.885394097039093
12,-45.243834871544095,-22.91543375095971,-39.91812919062081,-17.559476791296056
13,-75.51592523577392,-16.596405809685194,-54.58113882319714,19.89611188323381
14,-54.32498093083768,-16.9997386003669,-27.79222479538681,38.54689632945624
15,-75.3961432524277,39.51501328805662,-68.64623499410239,48.723033019153114
16,-68.50215788326038,43.67978812837822,-60.37126543771322,59.486256472806794
17,-16.91945132268067,7.946799265259666,-8.943602304500166,52.24345161472011
18,-10.061017958481477,52.25853536508119,-8.931393849004905,54.305629840467155
19,-8.911235814478461,29.997609773822443,-8.5603256538402,54.24243853544846
20,-8.545575203564262,29.095000671237255,-8.203955905361088,52.25452142132981
21,-8.529949213260675,52.25533127922685,-8.18528157963858,55.135912117901306
22,-8.175034968742679,6.031724807690462,-7.812506499670205,55.081559220184886
23,-7.790658198936397,33.37554068959491,-7.499976069316549,53.6858448021941
24,-7.7799573395701085,53.6993313301159,-7.498502387188002,55.16044528351313
25,-7.484596565692038,5.0243269957125225,-6.905013793812865,53.22579252474503
26,-7.485720984764352,53.24515932178884,-6.915263488850204,55.329672263028996
27,-6.873477916428593,32.18750613137838,-6.408105533752385,62.282386509376416
28,-6.395756470176874,7.055155408505033,-4.117603353355467,55.20459395451372
29,-4.040939804413321,5.308993258165964,1.2835439189025786,41.93916950301722
30,-4.004053601524111,42.13380958323836,1.4468633845410237,44.86227262051208
31,-3.2902905148922206,45.09189626525566,1.4667380961829275,49.7658704402566
32,-3.793115051915999,50.48029637237866,-1.136524755085383,57.10693902716086
33,-1.0772514176903256,50.97651780709653,1.4163735263843122,54.3638441538022
34,1.5937286887403317,13.519695327402756,2.7464607787477524,52.41456052948134
35,2.832949248099025,6.531190809380299,4.600344176168977,47.69993718358298
36,2.953559708076017,47.81974865094118,4.5612688381819515,51.54359489390291
37,4.629383017971553,8.97507097840072,5.899141097493219,60.15736678800955
38,5.9845941105702005,6.4986172714749255,8.06580734080551,48.789125214697236
39,5.962899842299859,48.8913258192846,8.07181804192157,59.96004068077248
40,8.147118033463926,5.165299121724186,9.25357874174439,48.31963138320228
41,8.178557756425759,48.35608341335323,9.232732663950609,53.594891210940496
42,9.319201466248671,1.4708981540907113,10.962055214496418,46.62494802649758
43,9.291919122608991,47.000782479488095,10.940329857641261,59.800096511903895
44,11.020183235151855,3.9030936930966864,13.409164869513512,50.450681268081524
45,11.050008954238471,50.59284657529005,13.385901561334657,66.11413552801261
46,13.444911454793411,-14.936737349859813,14.524952997191729,67.1675246983774
47,14.540587219026193,-15.050778317842123,15.825784432055087,53.76917733915772
48,15.885794827639057,8.681604772075685,17.09422112897651,49.57900193897234
49,15.93464581641679,49.67542004285671,17.07932767656857,58.677066103467645
50,17.131166551057945,40.380261982012335,18.378123825514066,62.450168159626536
51,18.43294903575407,-33.98576151259168,19.927771592491105,50.00638120884042
